b_bonus,hpwl_thresh,slw_tol_cells,trained,hpwl,nslw_strict,nslw_cfg,legal1,legal2,legal3,secs_train,secs_infer,secs_eval
0.01,700,0.5,0,1366.0,1,1,False,True,False,0.00,3.20,0.11
0.01,700,0.75,0,1366.0,1,1,False,True,False,0.00,3.28,0.11
0.01,900,0.5,0,1044.0,1,1,False,True,False,0.00,3.20,0.12
0.01,900,0.75,0,1044.0,1,1,False,True,False,0.00,4.02,0.11
0.02,700,0.5,0,1366.0,1,1,False,True,False,0.00,3.96,0.11
0.02,700,0.75,0,1366.0,1,1,False,True,False,0.00,3.19,0.11
0.02,900,0.5,0,1044.0,1,1,False,True,False,0.00,3.16,0.11
0.02,900,0.75,0,1044.0,1,1,False,True,False,0.00,3.15,0.11
0.05,700,0.5,0,1366.0,1,1,False,True,False,0.00,3.19,0.12
0.05,700,0.75,0,1366.0,1,1,False,True,False,0.00,7.56,0.36
0.05,900,0.5,0,1044.0,1,1,False,True,False,0.00,4.29,0.22
0.05,900,0.75,0,1044.0,1,1,False,True,False,0.00,3.18,0.11
0.1,700,0.5,0,1366.0,1,1,False,True,False,0.00,3.14,0.12
0.1,700,0.75,0,1366.0,1,1,False,True,False,0.00,3.12,0.11
0.1,900,0.5,0,1044.0,1,1,False,True,False,0.00,3.15,0.11
0.1,900,0.75,0,1044.0,1,1,False,True,False,0.00,3.19,0.11
